review_month,count
2001-12,1
2002-01,1
2002-02,1
2002-03,1
2002-04,1
2002-06,2
2002-08,3
2002-09,3
2002-10,6
2002-11,3
2002-12,7
2003-01,6
2003-02,11
2003-03,2
2003-04,3
2003-05,6
2003-06,6
2003-07,3
2003-08,4
2003-09,4
2003-10,7
2003-11,2
2003-12,7
2004-01,4
2004-02,4
2004-03,3
2004-04,5
2004-05,6
2004-06,9
2004-07,19
2004-08,3
2004-09,17
2004-10,13
2004-11,16
2004-12,16
2005-01,17
2005-02,15
2005-03,13
2005-04,11
2005-05,16
2005-06,7
2005-07,20
2005-08,17
2005-09,32
2005-10,20
2005-11,17
2005-12,39
2006-01,45
2006-02,36
2006-03,34
2006-04,9
2006-05,33
2006-06,35
2006-07,37
2006-08,42
2006-09,33
2006-10,30
2006-11,60
2006-12,49
2007-01,205
2007-02,98
2007-03,139
2007-04,92
2007-05,143
2007-06,76
2007-07,89
2007-08,97
2007-09,96
2007-10,89
2007-11,108
2007-12,147
2008-01,217
2008-02,109
2008-03,129
2008-04,134
2008-05,144
2008-06,105
2008-07,152
2008-08,133
2008-09,143
2008-10,151
2008-11,142
2008-12,191
2009-01,307
2009-02,221
2009-03,197
2009-04,201
2009-05,182
2009-06,224
2009-07,225
2009-08,211
2009-09,235
2009-10,290
2009-11,266
2009-12,384
2010-01,594
2010-02,632
2010-03,529
2010-04,470
2010-05,446
2010-06,476
2010-07,603
2010-08,587
2010-09,655
2010-10,642
2010-11,610
2010-12,729
2011-01,1044
2011-02,762
2011-03,772
2011-04,809
2011-05,683
2011-06,703
2011-07,813
2011-08,976
2011-09,1021
2011-10,1019
2011-11,1833
2011-12,1506
2012-01,1692
2012-02,1135
2012-03,1102
2012-04,1003
2012-05,987
2012-06,1128
2012-07,1199
2012-08,1094
2012-09,1022
2012-10,1073
2012-11,1292
2012-12,2742
2013-01,3375
2013-02,2457
2013-03,2280
2013-04,2010
2013-05,1975
2013-06,1857
2013-07,1876
2013-08,1869
2013-09,1687
2013-10,1770
2013-11,1432
2013-12,1801
2014-01,2138
2014-02,1556
2014-03,1522
2014-04,318
